first,second,third,fourth,fifth,sixth,Day_Name,Month,Day,Week,week_cos,week_sin,month_cos,month_sin,day_cos,day_sin
1,6,8,10,18,42,Thursday,8,22,34,0.6234898018587354,-0.7818314824680284,-0.5000000000000004,-0.8660254037844385,-0.2506525322587213,-0.9680771188662041
13,15,16,30,35,42,Tuesday,8,20,34,0.6234898018587354,-0.7818314824680284,-0.5000000000000004,-0.8660254037844385,-0.6121059825476627,-0.7907757369376986
8,11,25,32,35,37,Saturday,8,17,33,-0.22252093395631553,-0.9749279121818234,-0.5000000000000004,-0.8660254037844385,-0.9541392564000488,-0.2993631229733582
8,11,13,30,37,40,Thursday,8,15,33,-0.22252093395631553,-0.9749279121818234,-0.5000000000000004,-0.8660254037844385,-0.994869323391895,0.10116832198743272
8,15,18,19,30,40,Tuesday,8,13,33,-0.22252093395631553,-0.9749279121818234,-0.5000000000000004,-0.8660254037844385,-0.8743466161445821,0.48530196253108104
11,19,30,35,39,40,Saturday,8,10,32,-0.9009688679024196,-0.4338837391175571,-0.5000000000000004,-0.8660254037844385,-0.4403941515576344,0.8978045395707416
7,8,20,24,29,40,Thursday,8,8,32,-0.9009688679024196,-0.4338837391175571,-0.5000000000000004,-0.8660254037844385,-0.05064916883871264,0.9987165071710528
4,7,13,29,38,41,Tuesday,8,6,32,-0.9009688679024196,-0.4338837391175571,-0.5000000000000004,-0.8660254037844385,0.3473052528448203,0.9377521321470804
6,14,35,37,40,41,Saturday,8,3,31,-0.9009688679024187,0.4338837391175591,-0.5000000000000004,-0.8660254037844385,0.8207634412072763,0.5712682150947923
5,10,11,22,27,42,Thursday,8,1,31,-0.9009688679024187,0.4338837391175591,-0.5000000000000004,-0.8660254037844385,0.9795299412524945,0.20129852008866006
10,14,20,27,30,35,Tuesday,7,30,31,-0.9009688679024187,0.4338837391175591,-0.8660254037844388,-0.4999999999999997,0.9795299412524943,-0.20129852008866114
16,29,30,36,39,41,Saturday,7,27,30,-0.22252093395630992,0.9749279121818246,-0.8660254037844388,-0.4999999999999997,0.6889669190756865,-0.72479278722912
4,7,19,21,22,25,Thursday,7,25,30,-0.22252093395630992,0.9749279121818246,-0.8660254037844388,-0.4999999999999997,0.3473052528448203,-0.9377521321470804
6,12,13,31,32,42,Tuesday,7,23,30,-0.22252093395630992,0.9749279121818246,-0.8660254037844388,-0.4999999999999997,-0.05064916883871355,-0.9987165071710528
2,3,8,9,36,38,Saturday,7,20,29,0.6234898018587344,0.7818314824680291,-0.8660254037844388,-0.4999999999999997,-0.6121059825476627,-0.7907757369376986
5,10,27,29,34,35,Thursday,7,18,29,0.6234898018587344,0.7818314824680291,-0.8660254037844388,-0.4999999999999997,-0.8743466161445822,-0.4853019625310808
1,3,24,27,29,42,Tuesday,7,16,29,0.6234898018587344,0.7818314824680291,-0.8660254037844388,-0.4999999999999997,-0.9948693233918952,-0.10116832198743204
7,12,23,26,34,38,Saturday,7,13,28,1.0,-9.797174393178826e-16,-0.8660254037844388,-0.4999999999999997,-0.8743466161445821,0.48530196253108104
8,14,15,16,27,37,Thursday,7,11,28,1.0,-9.797174393178826e-16,-0.8660254037844388,-0.4999999999999997,-0.6121059825476626,0.7907757369376989
7,11,15,21,29,39,Tuesday,7,9,28,1.0,-9.797174393178826e-16,-0.8660254037844388,-0.4999999999999997,-0.2506525322587204,0.9680771188662043
13,20,23,25,27,28,Saturday,7,6,27,0.6234898018587328,-0.7818314824680304,-0.8660254037844388,-0.4999999999999997,0.3473052528448203,0.9377521321470804
8,13,14,20,37,39,Thursday,7,4,27,0.6234898018587328,-0.7818314824680304,-0.8660254037844388,-0.4999999999999997,0.6889669190756866,0.72479278722912
7,8,10,16,25,27,Tuesday,7,2,27,0.6234898018587328,-0.7818314824680304,-0.8660254037844388,-0.4999999999999997,0.9189578116202306,0.39435585511331855
