Date,first,second,third,fourth,fifth,sixth,Day_Name,Month,Day,Week,week_cos,week_sin,month_cos,month_sin,day_cos,day_sin
2021-03-23,12,15,21,22,25,31,Tuesday,3,23,12,-0.2225209339563148,-0.9749279121818235,6.123233995736766e-17,1.0,-0.05064916883871355,-0.9987165071710528
2021-03-20,2,17,21,22,32,37,Saturday,3,20,11,-0.90096886790242,-0.4338837391175562,6.123233995736766e-17,1.0,-0.6121059825476627,-0.7907757369376986
2021-03-18,1,19,20,23,29,33,Thursday,3,18,11,-0.90096886790242,-0.4338837391175562,6.123233995736766e-17,1.0,-0.8743466161445822,-0.4853019625310808
2021-03-16,15,19,24,30,34,38,Tuesday,3,16,11,-0.90096886790242,-0.4338837391175562,6.123233995736766e-17,1.0,-0.9948693233918952,-0.10116832198743204
2021-03-13,4,15,17,25,28,38,Saturday,3,13,10,-0.9009688679024189,0.43388373911755845,6.123233995736766e-17,1.0,-0.8743466161445821,0.48530196253108104
2021-03-11,4,18,20,32,38,39,Thursday,3,11,10,-0.9009688679024189,0.43388373911755845,6.123233995736766e-17,1.0,-0.6121059825476626,0.7907757369376989
2021-03-09,4,15,28,36,38,42,Tuesday,3,9,10,-0.9009688679024189,0.43388373911755845,6.123233995736766e-17,1.0,-0.2506525322587204,0.9680771188662043
2021-03-06,20,24,25,28,29,32,Saturday,3,6,9,-0.2225209339563141,0.9749279121818237,6.123233995736766e-17,1.0,0.3473052528448203,0.9377521321470804
2021-03-04,4,14,19,24,25,30,Thursday,3,4,9,-0.2225209339563141,0.9749279121818237,6.123233995736766e-17,1.0,0.6889669190756866,0.72479278722912
2021-03-02,2,12,18,25,28,38,Tuesday,3,2,9,-0.2225209339563141,0.9749279121818237,6.123233995736766e-17,1.0,0.9189578116202306,0.39435585511331855
2021-02-27,18,23,26,29,35,37,Saturday,2,27,8,0.6234898018587337,0.7818314824680296,0.5000000000000001,0.8660254037844386,0.6889669190756865,-0.72479278722912
2021-02-25,2,4,8,12,17,24,Thursday,2,25,8,0.6234898018587337,0.7818314824680296,0.5000000000000001,0.8660254037844386,0.3473052528448203,-0.9377521321470804
2021-02-23,1,4,24,37,39,40,Tuesday,2,23,8,0.6234898018587337,0.7818314824680296,0.5000000000000001,0.8660254037844386,-0.05064916883871355,-0.9987165071710528
2021-02-20,2,15,26,31,37,38,Saturday,2,20,7,1.0,-2.4492935982947064e-16,0.5000000000000001,0.8660254037844386,-0.6121059825476627,-0.7907757369376986
2021-02-18,1,17,18,30,38,42,Thursday,2,18,7,1.0,-2.4492935982947064e-16,0.5000000000000001,0.8660254037844386,-0.8743466161445822,-0.4853019625310808
2021-02-16,5,8,10,16,36,37,Tuesday,2,16,7,1.0,-2.4492935982947064e-16,0.5000000000000001,0.8660254037844386,-0.9948693233918952,-0.10116832198743204
2021-02-13,4,8,27,30,33,41,Saturday,2,13,6,0.6234898018587334,-0.7818314824680299,0.5000000000000001,0.8660254037844386,-0.8743466161445821,0.48530196253108104
2021-02-11,3,12,16,21,23,30,Thursday,2,11,6,0.6234898018587334,-0.7818314824680299,0.5000000000000001,0.8660254037844386,-0.6121059825476626,0.7907757369376989
2021-02-09,2,5,13,17,20,26,Tuesday,2,9,6,0.6234898018587334,-0.7818314824680299,0.5000000000000001,0.8660254037844386,-0.2506525322587204,0.9680771188662043
2021-02-06,5,7,17,18,20,30,Saturday,2,6,5,-0.2225209339563146,-0.9749279121818236,0.5000000000000001,0.8660254037844386,0.3473052528448203,0.9377521321470804
2021-02-04,3,10,13,19,27,37,Thursday,2,4,5,-0.2225209339563146,-0.9749279121818236,0.5000000000000001,0.8660254037844386,0.6889669190756866,0.72479278722912
2021-02-02,9,12,18,25,37,38,Tuesday,2,2,5,-0.2225209339563146,-0.9749279121818236,0.5000000000000001,0.8660254037844386,0.9189578116202306,0.39435585511331855
2021-01-30,13,16,18,20,22,30,Saturday,1,30,4,-0.9009688679024191,-0.433883739117558,0.8660254037844387,0.49999999999999994,0.9795299412524943,-0.20129852008866114
2021-01-28,18,19,26,29,30,35,Thursday,1,28,4,-0.9009688679024191,-0.433883739117558,0.8660254037844387,0.49999999999999994,0.8207634412072763,-0.5712682150947924
2021-01-26,3,9,19,23,24,41,Tuesday,1,26,4,-0.9009688679024191,-0.433883739117558,0.8660254037844387,0.49999999999999994,0.5289640103269624,-0.8486442574947509
2021-01-23,2,4,5,12,26,28,Saturday,1,23,3,-0.900968867902419,0.43388373911755823,0.8660254037844387,0.49999999999999994,-0.05064916883871355,-0.9987165071710528
2021-01-21,1,6,10,32,35,41,Thursday,1,21,3,-0.900968867902419,0.43388373911755823,0.8660254037844387,0.49999999999999994,-0.44039415155763423,-0.8978045395707417
2021-01-19,2,13,16,22,27,35,Tuesday,1,19,3,-0.900968867902419,0.43388373911755823,0.8660254037844387,0.49999999999999994,-0.7587581226927911,-0.651372482722222
2021-01-16,9,21,28,29,32,40,Saturday,1,16,2,-0.22252093395631434,0.9749279121818236,0.8660254037844387,0.49999999999999994,-0.9948693233918952,-0.10116832198743204
2021-01-14,1,4,17,22,30,33,Thursday,1,14,2,-0.22252093395631434,0.9749279121818236,0.8660254037844387,0.49999999999999994,-0.9541392564000488,0.29936312297335804
2021-01-12,1,6,27,33,38,40,Tuesday,1,12,2,-0.22252093395631434,0.9749279121818236,0.8660254037844387,0.49999999999999994,-0.758758122692791,0.6513724827222223
2021-01-09,8,9,17,25,33,34,Saturday,1,9,1,0.6234898018587336,0.7818314824680298,0.8660254037844387,0.49999999999999994,-0.2506525322587204,0.9680771188662043
2021-01-07,3,9,11,16,25,26,Thursday,1,7,1,0.6234898018587336,0.7818314824680298,0.8660254037844387,0.49999999999999994,0.1514277775045767,0.9884683243281114
2021-01-05,7,25,27,31,34,36,Tuesday,1,5,1,0.6234898018587336,0.7818314824680298,0.8660254037844387,0.49999999999999994,0.5289640103269624,0.8486442574947509
2021-01-02,7,8,9,23,35,39,Saturday,1,2,53,-0.9009688679024199,-0.43388373911755646,0.8660254037844387,0.49999999999999994,0.9189578116202306,0.39435585511331855
2020-12-31,6,13,24,25,34,42,Thursday,12,31,53,-0.9009688679024199,-0.43388373911755646,1.0,-2.4492935982947064e-16,1.0,-2.4492935982947064e-16
2020-12-29,9,11,23,25,31,39,Tuesday,12,29,53,-0.9009688679024199,-0.43388373911755646,1.0,-2.4492935982947064e-16,0.9189578116202306,-0.3943558551133187
2020-12-26,15,22,23,24,34,37,Saturday,12,26,52,-0.9009688679024214,0.43388373911755335,1.0,-2.4492935982947064e-16,0.5289640103269624,-0.8486442574947509
2020-12-24,9,14,16,28,33,41,Thursday,12,24,52,-0.9009688679024214,0.43388373911755335,1.0,-2.4492935982947064e-16,0.15142777750457667,-0.9884683243281114
2020-12-22,1,4,5,27,28,33,Tuesday,12,22,52,-0.9009688679024214,0.43388373911755335,1.0,-2.4492935982947064e-16,-0.2506525322587213,-0.9680771188662041
2020-12-19,6,11,15,33,34,42,Saturday,12,19,51,-0.22252093395631267,0.974927912181824,1.0,-2.4492935982947064e-16,-0.7587581226927911,-0.651372482722222
2020-12-17,5,11,20,22,25,39,Thursday,12,17,51,-0.22252093395631267,0.974927912181824,1.0,-2.4492935982947064e-16,-0.9541392564000488,-0.2993631229733582
2020-12-15,11,17,18,35,36,37,Tuesday,12,15,51,-0.22252093395631267,0.974927912181824,1.0,-2.4492935982947064e-16,-0.994869323391895,0.10116832198743272
2020-12-12,3,8,22,28,32,37,Saturday,12,12,50,0.6234898018587349,0.7818314824680287,1.0,-2.4492935982947064e-16,-0.758758122692791,0.6513724827222223
2020-12-10,1,15,21,24,32,41,Thursday,12,10,50,0.6234898018587349,0.7818314824680287,1.0,-2.4492935982947064e-16,-0.4403941515576344,0.8978045395707416
2020-12-08,2,12,16,24,36,39,Tuesday,12,8,50,0.6234898018587349,0.7818314824680287,1.0,-2.4492935982947064e-16,-0.05064916883871264,0.9987165071710528
2020-12-05,2,6,12,13,18,39,Saturday,12,5,49,1.0,-1.7145055188062944e-15,1.0,-2.4492935982947064e-16,0.5289640103269624,0.8486442574947509
2020-12-03,3,5,20,23,25,39,Thursday,12,3,49,1.0,-1.7145055188062944e-15,1.0,-2.4492935982947064e-16,0.8207634412072763,0.5712682150947923
2020-12-01,9,13,19,25,28,34,Tuesday,12,1,49,1.0,-1.7145055188062944e-15,1.0,-2.4492935982947064e-16,0.9795299412524945,0.20129852008866006
2020-11-28,6,12,22,28,30,32,Saturday,11,28,48,0.6234898018587323,-0.7818314824680308,0.8660254037844384,-0.5000000000000004,0.8207634412072763,-0.5712682150947924
2020-11-26,14,21,22,27,29,36,Thursday,11,26,48,0.6234898018587323,-0.7818314824680308,0.8660254037844384,-0.5000000000000004,0.5289640103269624,-0.8486442574947509
2020-11-24,9,19,24,29,39,41,Tuesday,11,24,48,0.6234898018587323,-0.7818314824680308,0.8660254037844384,-0.5000000000000004,0.15142777750457667,-0.9884683243281114
2020-11-21,2,3,13,22,31,42,Saturday,11,21,47,-0.222520933956316,-0.9749279121818233,0.8660254037844384,-0.5000000000000004,-0.44039415155763423,-0.8978045395707417
2020-11-19,5,14,15,22,23,34,Thursday,11,19,47,-0.222520933956316,-0.9749279121818233,0.8660254037844384,-0.5000000000000004,-0.7587581226927911,-0.651372482722222
2020-11-17,2,5,7,18,26,30,Tuesday,11,17,47,-0.222520933956316,-0.9749279121818233,0.8660254037844384,-0.5000000000000004,-0.9541392564000488,-0.2993631229733582
2020-11-14,9,23,27,29,39,41,Saturday,11,14,46,-0.9009688679024198,-0.4338837391175567,0.8660254037844384,-0.5000000000000004,-0.9541392564000488,0.29936312297335804
2020-11-12,5,7,10,13,30,41,Thursday,11,12,46,-0.9009688679024198,-0.4338837391175567,0.8660254037844384,-0.5000000000000004,-0.758758122692791,0.6513724827222223
2020-11-10,1,4,13,14,27,33,Tuesday,11,10,46,-0.9009688679024198,-0.4338837391175567,0.8660254037844384,-0.5000000000000004,-0.4403941515576344,0.8978045395707416
2020-11-07,1,4,20,28,36,39,Saturday,11,7,45,-0.9009688679024185,0.43388373911755956,0.8660254037844384,-0.5000000000000004,0.1514277775045767,0.9884683243281114
2020-11-05,4,10,20,21,27,32,Thursday,11,5,45,-0.9009688679024185,0.43388373911755956,0.8660254037844384,-0.5000000000000004,0.5289640103269624,0.8486442574947509
2020-11-03,2,15,23,24,31,39,Tuesday,11,3,45,-0.9009688679024185,0.43388373911755956,0.8660254037844384,-0.5000000000000004,0.8207634412072763,0.5712682150947923
2020-10-31,1,21,26,27,40,41,Saturday,10,31,44,-0.22252093395630598,0.9749279121818255,0.5000000000000001,-0.8660254037844386,1.0,-2.4492935982947064e-16
2020-10-29,1,4,7,12,27,40,Thursday,10,29,44,-0.22252093395630598,0.9749279121818255,0.5000000000000001,-0.8660254037844386,0.9189578116202306,-0.3943558551133187
2020-10-27,1,7,14,23,25,42,Tuesday,10,27,44,-0.22252093395630598,0.9749279121818255,0.5000000000000001,-0.8660254037844386,0.6889669190756865,-0.72479278722912
2020-10-24,7,11,14,31,35,36,Saturday,10,24,43,0.6234898018587347,0.7818314824680289,0.5000000000000001,-0.8660254037844386,0.15142777750457667,-0.9884683243281114
2020-10-22,2,6,18,20,25,37,Thursday,10,22,43,0.6234898018587347,0.7818314824680289,0.5000000000000001,-0.8660254037844386,-0.2506525322587213,-0.9680771188662041
2020-10-20,3,12,28,29,31,38,Tuesday,10,20,43,0.6234898018587347,0.7818314824680289,0.5000000000000001,-0.8660254037844386,-0.6121059825476627,-0.7907757369376986
2020-10-17,10,14,15,19,27,38,Saturday,10,17,42,1.0,-1.4695761589768238e-15,0.5000000000000001,-0.8660254037844386,-0.9541392564000488,-0.2993631229733582
2020-10-15,4,17,18,19,35,37,Thursday,10,15,42,1.0,-1.4695761589768238e-15,0.5000000000000001,-0.8660254037844386,-0.994869323391895,0.10116832198743272
2020-10-13,4,10,16,23,29,31,Tuesday,10,13,42,1.0,-1.4695761589768238e-15,0.5000000000000001,-0.8660254037844386,-0.8743466161445821,0.48530196253108104
2020-10-10,10,16,29,30,33,41,Saturday,10,10,41,0.6234898018587324,-0.7818314824680307,0.5000000000000001,-0.8660254037844386,-0.4403941515576344,0.8978045395707416
